"link","jenis_pekerjaan","nama_perusahaan","lokasi_perusahaan","kemampuan"
"https://www.techinasia.com/jobs/17f85b27-a122-4fe9-aac5-07a34cfc7cd0","Tech Ops","Farmacare","Denpasar, Bali, Indonesia","MySQL, Databases, Data Warehouse, Amazon Web Services (AWS), Javascript, Data Visualization, Python, Golang, Web Applications, Data Management, PostgreSQL, Communication Skills, Cloud Computing"
"https://www.techinasia.com/jobs/89b9258d-60a8-4ae7-b4cb-918410df0676","Quality Engineer / Automation Test Developer","Farmacare","Denpasar, Bali, Indonesia","Test Automation, Web Technologies, Git, Amazon Web Services (AWS), Javascript, Web Services, Web Development, Python, Golang, Selenium, Analytical Skills, Communication Skills"
"https://www.techinasia.com/jobs/118be711-119f-4218-bb94-5c85eec92830","Backend Developer","Farmacare","Denpasar, Bali, Indonesia","MySQL, Git, Amazon Web Services (AWS), Python, Golang, PostgreSQL, SaaS, Communication Skills, Cloud Computing"
"https://www.techinasia.com/jobs/1afc5860-9c70-4ebf-b866-505753e03f18","Frontend developer","Farmacare","Denpasar, Bali, Indonesia","React.js, Git, Amazon Web Services (AWS), Javascript, HTML5, CSS3, REST APIs, SCSS/SASS, Unit Testing, Communication Skills"
"https://www.techinasia.com/jobs/4a268d55-d0c6-4ad2-88bf-11a97de5d342","Product Manager","Makmur","Jakarta, Indonesia","Product Launch, Product Strategy, Product Management, Market Research, User Research"
"https://www.techinasia.com/jobs/33068b2b-ff84-4b49-9d82-eea1ed7d34e7","Project Manager","Oninyon Software Solution","Yogyakarta, Indonesia","Project Management, Jira, Risk Management, Attention to Detail, Teamwork, Problem Solving, Requirements Analysis, Analytics & Reporting, Leadership"
"https://www.techinasia.com/jobs/a0a2fbde-7381-4643-8bee-20e727c239bb","Backend Developer (Golang)","Pintar Ventura Group","Jakarta, Indonesia","Golang, SQL, PostgreSQL, REST APIs"
"https://www.techinasia.com/jobs/a3a1f15f-9edf-456d-9ca0-734411078ee4","Sales Specialist","Refocus","Manila, Philippines (Remote)","Sales & Marketing, Sales Strategy & Management, Marketing Communications, Business Development, Communication Skills, Sales, Sales Training, Inside Sales, Salesforce"
"https://www.techinasia.com/jobs/995f5d22-9103-4c55-aac4-6aa6db6df5a1","Web Frontend Developer (React)","Pintar Ventura Group","Jakarta, Indonesia","React.js, REST APIs, HTML5, CSS3"
"https://www.techinasia.com/jobs/a35d942f-47d3-4dba-98b1-f9c3151308f4","Fleet Vendor Management Associate","Lalamove Logistik Indonesia","Jakarta, Indonesia","Operations, Vendor Management, Sales Strategy & Management"
"https://www.techinasia.com/jobs/4498dc78-2863-4b31-b2ce-5c1f359b8aae","HSE Officer","Octopus Indonesia","Jakarta, Indonesia","Operations Management, Operations Operating Systems"
"https://www.techinasia.com/jobs/b9de1f5d-a2c4-4450-a2a1-00e675c9e641","Senior Software Engineer (Relocation to Malaysia)","SEEK","Kuala Lumpur, Malaysia","Node.js, React.js, Amazon Web Services (AWS), PostgreSQL, MongoDB, Redis"
"https://www.techinasia.com/jobs/6dce00f3-66f8-41e7-b579-be10038c14eb","Account Manager (Recruitment)","Hacktiv8","Jakarta, Indonesia","Business Development & Partnerships, Business Development, Communication Skills"
"https://www.techinasia.com/jobs/25a9e9a4-f89c-4a52-a761-7368539a039a","Senior Software Engineer (Relocation to Melbourne)","SEEK","Melbourne, Australia","Node.js, React.js, Amazon Web Services (AWS), PostgreSQL, MongoDB, Redis"
